"索引","DMM-1 时间 (s)","DMM-1 电阻 (Ω)"
"1","0","13.7385173242871"
"2","0.020042545","13.7368294629928"
"3","0.040085818","13.7353645965118"
"4","0.060127545","13.7341978777923"
"5","0.0801693029999999","13.7335646218031"
"6","0.122264","13.7322266529231"
"7","0.142303879","13.7313235855299"
"8","0.162346","13.7298710392043"
"9","0.182390151","13.7284850217181"
"10","0.202432424","13.7269622505066"
"11","0.244526","13.72382923498"
"12","0.264569727","13.7225467067995"
"13","0.284611848","13.7212814268365"
"14","0.304653848","13.7198030081846"
"15","0.324698","13.7189553814908"
"16","0.36679","13.7168289226631"
"17","0.386831697","13.7163977172229"
"18","0.406871788","13.7159541916273"
"19","0.426913879","13.716586215601"
"20","0.446956","13.7164063413317"
"21","0.489048","13.7180394345466"
"22","0.509088151","13.7194969090898"
"23","0.529132303","13.7209038709903"
"24","0.549174424","13.7233432620262"
"25","0.569214515","13.7262964035985"
"26","0.611307","13.7329234159127"
"27","0.631348818","13.7364124843034"
"28","0.651390848","13.7395134677567"
"29","0.671432848","13.7423347836517"
"30","0.691474848","13.7443786976561"
"31","0.733571","13.7463095693347"
"32","0.753614424","13.7460890385241"
"33","0.773654394","13.7448767350737"
"34","0.793696545","13.7436176150266"
"35","0.813738545","13.7410895188067"
"36","0.855831","13.7349417604553"
"37","0.875874909","13.7319183939234"
"38","0.895914909","13.7287681297742"
"39","0.915956909","13.7250770107319"
"40","0.935998909","13.7214869169772"
"41","0.978088","13.7152898779978"
"42","0.998129909","13.7141231591283"
"43","1.018173939","13.7135675200468"
"44","1.038213697","13.7136919536327"
"45","1.058255333","13.7147330069006"
"46","1.10035","13.7165194296681"
"47","1.120391727","13.7168483778604"
"48","1.140433727","13.7164282605061"
"49","1.160473697","13.7158516771578"
"50","1.180515697","13.7144607314306"
"51","1.222607","13.7101930290399"
"52","1.242649242","13.7080382335777"
"53","1.262691242","13.7057023318073"
"54","1.282731212","13.7026666451184"
"55","1.302773242","13.7005611302842"
"56","1.344868","13.6953447758033"
"57","1.364909727","13.6922573444548"
"58","1.384951727","13.6895198055657"
"59","1.404995757","13.6869485887963"
"60","1.425039818","13.6851141174165"
"61","1.467137","13.6829462659624"
"62","1.487182727","13.6827060229016"
"63","1.507222727","13.6830682355163"
"64","1.527264727","13.6838665816877"
"65","1.547308757","13.6853289843194"
"66","1.589399","13.6891876574807"
"67","1.609442454","13.6913646292164"
"68","1.629486515","13.693911205661"
"69","1.649530545","13.697065165844"
"70","1.669574576","13.6999973632016"
"71","1.711665","13.7055414338358"
"72","1.731707303","13.706997676389"
"73","1.751747303","13.7083368774511"
"74","1.771789303","13.7091672560305"
"75","1.791829272","13.7098128322554"
"76","1.833918","13.7104534804176"
"77","1.853959545","13.7100469152378"
"78","1.873999515","13.7089910777859"
"79","1.894041515","13.7070531170953"
"80","1.914083545","13.7048391848888"
"81","1.956175","13.6980384582442"
"82","1.976218909","13.6947033917539"
"83","1.996258879","13.6914631904721"
"84","2.016302939","13.6891851934493"
"85","2.036346576","13.6874554434115"
"86","2.078441","13.6863527893631"
"87","2.098484697","13.6864217822422"
"88","2.11852903","13.6871203351421"
"89","2.138569091","13.6884718563611"
"90","2.158611091","13.6905083783074"
"91","2.200705","13.6972142397433"
"92","2.220745212","13.7002548544822"
"93","2.240783151","13.7032424925461"
"94","2.260825151","13.7057644286768"
"95","2.280867151","13.7078465352039"
"96","2.322959","13.7082629565093"
"97","2.342998848","13.7071960309161"
"98","2.363036757","13.7056424591229"
"99","2.383076727","13.7035566565487"
"100","2.403118727","13.7000996205044"
"101","2.445209","13.690658705036"
"102","2.465251182","13.6856727371929"
"103","2.485293212","13.680246939718"
"104","2.505335212","13.6750244248461"
"105","2.525379242","13.6701320902019"
"106","2.567469","13.6601392102476"
"107","2.587511212","13.6556066242099"
"108","2.607553242","13.6505849279093"
"109","2.627595272","13.6465205078663"
"110","2.647637272","13.6429033095497"
"111","2.689726","13.6353830852566"
"112","2.709766242","13.6321012359631"
"113","2.729809","13.6293094881671"
"114","2.74985303","13.6273715273184"
"115","2.769897121","13.6267358071671"
"116","2.81199","13.6384843098074"
"117","2.832029394","13.6546508210958"
"118","2.852069363","13.6785654797316"
"119","2.872109333","13.7118791868828"
"120","2.892153485","13.7549122666566"
"121","2.934243","13.8888483999971"
"122","2.954286788","13.9795457069258"
"123","2.974328818","14.0917244412911"
"124","2.994368788","14.2305467492826"
"125","3.014408788","14.4055521292165"
"126","3.0565","14.9077143759837"
"127","3.076539848","15.2236254026219"
"128","3.096583485","15.5986485472006"
"129","3.11662906","16.0320482962892"
"130","3.13666903","16.5279900952973"
"131","3.178762","17.7731194684525"
"132","3.198803879","18.4538500848386"
"133","3.218847909","19.1802342785988"
"134","3.238891969","19.9278498005888"
